type,dataset,algorithm,stable,n,seed,reps,batch,wall_ns_med,wall_ns_min,cpu_ns_med,instr_med,cycles_med,counts_accesses,rss_delta_bytes,backend,ok,error,reads,writes,compares,table_reads,table_writes,table_bytes,key_bytes,cmp_flips,traffic_bytes,l1_misses,l2_misses,unmapped,aux_peak_bytes,aux_allocs,max_depth,fallbacks,bad_parts,route,r_sorted,r_reverse,r_runs,r_displaced,r_radix,giveups,splits,split_retries,part_sorts,dict_tries,dict_hits,plan_retries,radix_passes,passes_skipped,order_hash,trace_hash
int32,random,introsort,0,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,16310,6857,11918,0,0,0,0,4806,185336,125,125,0,0,0,9,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,105cb95bff1cf662
int32,random,timsort,1,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,29657,15970,8714,0,0,0,0,4384,365016,218,218,0,4000,2,6,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,975414616a4a6d50
int32,random,pdqsort,0,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,15935,7798,11533,0,0,0,0,4503,189864,125,125,0,0,0,7,0,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,98762e762caf7103
int32,random,mergesort,1,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,12423,11580,10319,0,0,0,0,4251,192024,250,250,0,8000,1,7,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,966d4a2a740ce7fe
int32,random,heapsort,0,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,21389,11486,10364,0,0,0,0,5261,263000,125,125,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,2d974497a37bd052
int32,random,brainsort,1,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,6000,4000,999,9024,10048,76288,0,670,156288,282,282,0,10080,4,1,0,0,radix,0,0,0,0,1,0,0,0,0,0,0,0,4,0,cc7c7c61ec539899,7bd1882a31c43907
int32,random,radix11,1,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,5000,4000,0,11120,17264,113536,0,0,185536,887,634,0,32576,2,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,3,0,cc7c7c61ec539899,ae574571793e7d21
int32,random,radix16,1,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,3000,2000,0,135072,266144,1604864,0,0,1644864,20720,8442,0,532288,2,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,cc7c7c61ec539899,187751024f79a975
int32,random,std::sort,0,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,27097,6857,11914,0,0,0,0,4814,271632,125,125,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,fbdc36bdaec42fc4
int32,random,std::stable_sort,1,1000,20260912,0,1,,,,,,1,,windows-qpc-cycletime,1,,29863,11897,9682,0,0,0,0,4521,334080,188,188,0,4000,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc7c7c61ec539899,31b17693dc478fca
