type,dataset,algorithm,stable,n,seed,ok,error,compares,cmp_flips,key_reads,aux_peak_bytes,order_hash
int32,random,brainsort,1,10,20260912,1,,25,12,,0,d18b993c93e9c7a8
int32,random,slice::sort,1,10,20260912,1,,25,12,,0,d18b993c93e9c7a8
int32,random,slice::sort_by_cached_key,1,10,20260912,1,,25,12,10,80,d18b993c93e9c7a8
int32,random,glidesort,1,10,20260912,1,,24,10,,0,d18b993c93e9c7a8
int32,sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,sorted,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,80,c0b09ddf1ee80aa8
int32,sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int32,reverse,brainsort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
int32,reverse,slice::sort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
int32,reverse,slice::sort_by_cached_key,1,10,20260912,1,,45,0,10,80,784ead557b67f22a
int32,reverse,glidesort,1,10,20260912,1,,27,2,,0,784ead557b67f22a
int32,nearly_sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,nearly_sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,nearly_sorted,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,80,c0b09ddf1ee80aa8
int32,nearly_sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int32,few_unique,brainsort,1,10,20260912,1,,28,8,,0,5d085e5b4e97e98c
int32,few_unique,slice::sort,1,10,20260912,1,,28,8,,0,5d085e5b4e97e98c
int32,few_unique,slice::sort_by_cached_key,1,10,20260912,1,,28,8,10,80,5d085e5b4e97e98c
int32,few_unique,glidesort,1,10,20260912,1,,23,14,,0,5d085e5b4e97e98c
int32,all_equal,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,all_equal,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,all_equal,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,80,c0b09ddf1ee80aa8
int32,all_equal,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int32,runs,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,runs,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,runs,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,80,c0b09ddf1ee80aa8
int32,runs,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int32,organ_pipe,brainsort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
int32,organ_pipe,slice::sort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
int32,organ_pipe,slice::sort_by_cached_key,1,10,20260912,1,,25,8,10,80,901f5df8c0caea74
int32,organ_pipe,glidesort,1,10,20260912,1,,27,6,,0,901f5df8c0caea74
int32,small_range,brainsort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
int32,small_range,slice::sort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
int32,small_range,slice::sort_by_cached_key,1,10,20260912,1,,28,7,10,80,fece0b07ed04e90e
int32,small_range,glidesort,1,10,20260912,1,,24,9,,0,fece0b07ed04e90e
int32,sawtooth,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,sawtooth,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int32,sawtooth,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,80,c0b09ddf1ee80aa8
int32,sawtooth,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int32,prefixed,brainsort,1,10,20260912,1,,29,12,,0,793ba3bc964687c0
int32,prefixed,slice::sort,1,10,20260912,1,,29,12,,0,793ba3bc964687c0
int32,prefixed,slice::sort_by_cached_key,1,10,20260912,1,,29,12,10,80,793ba3bc964687c0
int32,prefixed,glidesort,1,10,20260912,1,,26,12,,0,793ba3bc964687c0
int32,sparse_bits,brainsort,1,10,20260912,1,,25,12,,0,8d40bcf2e8285c22
int32,sparse_bits,slice::sort,1,10,20260912,1,,25,12,,0,8d40bcf2e8285c22
int32,sparse_bits,slice::sort_by_cached_key,1,10,20260912,1,,25,12,10,80,8d40bcf2e8285c22
int32,sparse_bits,glidesort,1,10,20260912,1,,22,12,,0,8d40bcf2e8285c22
double,random,brainsort,1,10,20260912,1,,29,9,,0,cf8664ec67648ee0
double,random,slice::sort,1,10,20260912,1,,29,9,,0,cf8664ec67648ee0
double,random,slice::sort_by_cached_key,1,10,20260912,1,,29,9,10,160,cf8664ec67648ee0
double,random,glidesort,1,10,20260912,1,,28,13,,0,cf8664ec67648ee0
double,sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,sorted,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
double,sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
double,reverse,brainsort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
double,reverse,slice::sort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
double,reverse,slice::sort_by_cached_key,1,10,20260912,1,,45,0,10,160,784ead557b67f22a
double,reverse,glidesort,1,10,20260912,1,,27,2,,0,784ead557b67f22a
double,nearly_sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,nearly_sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,nearly_sorted,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
double,nearly_sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
